# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.7229   0.6120   0.2359   Upper   A1 v -> Y ^    g75788__2346
0.7510   0.6120   0.2243   Upper   B1 v -> Y ^    g75786__9945
0.7229   0.6120   0.2078   Upper   A1 v -> Y ^    g75786__9945
0.7292   0.6120   0.2854   Upper   B0 v -> Y ^    g75836__1881
0.7242   0.6120   0.2716   Upper   A0 v -> Y ^    g75836__1881
0.7292   0.6120   0.2823   Upper   B1 v -> Y ^    g75835__6131
0.7242   0.6120   0.2669   Upper   A1 v -> Y ^    g75835__6131
0.7292   0.6120   0.2749   Upper   B0 v -> Y ^    g75834__7098
0.7242   0.6120   0.2612   Upper   A0 v -> Y ^    g75834__7098
0.7293   0.6120   0.2087   Upper   B1 v -> Y ^    g75833__8246
0.7242   0.6120   0.2007   Upper   A1 v -> Y ^    g75833__8246
0.7292   0.6120   0.2590   Upper   B1 v -> Y ^    g75829__1617
0.7242   0.6120   0.2412   Upper   A1 v -> Y ^    g75829__1617
0.7292   0.6120   0.2598   Upper   B1 v -> Y ^    g75827__6783
0.7242   0.6120   0.2419   Upper   A1 v -> Y ^    g75827__6783
0.7292   0.6120   0.3206   Upper   B0 v -> Y ^    g75825__8428
0.7242   0.6120   0.3034   Upper   A0 v -> Y ^    g75825__8428
0.7292   0.6120   0.2793   Upper   B0 v -> Y ^    g75823__6260
0.7242   0.6120   0.2656   Upper   A0 v -> Y ^    g75823__6260
0.7292   0.6120   0.2856   Upper   B0 v -> Y ^    g75819__6417
0.7242   0.6120   0.2718   Upper   A0 v -> Y ^    g75819__6417
0.7292   0.6120   0.3149   Upper   B0 v -> Y ^    g75816__2346
0.7242   0.6120   0.2983   Upper   A0 v -> Y ^    g75816__2346
0.7292   0.6120   0.2653   Upper   B1 v -> Y ^    g75814__9945
0.7242   0.6120   0.2478   Upper   A1 v -> Y ^    g75814__9945
0.7292   0.6120   0.2958   Upper   B0 v -> Y ^    g75812__6161
0.7242   0.6120   0.2813   Upper   A0 v -> Y ^    g75812__6161
0.7292   0.6120   0.2901   Upper   B0 v -> Y ^    g75809__5115
0.7242   0.6120   0.2762   Upper   A0 v -> Y ^    g75809__5115
0.7292   0.6120   0.2757   Upper   B0 v -> Y ^    g75807__6131
0.7242   0.6120   0.2620   Upper   A0 v -> Y ^    g75807__6131
0.7292   0.6120   0.3064   Upper   B0 v -> Y ^    g75800__3680
0.7242   0.6120   0.2908   Upper   A0 v -> Y ^    g75800__3680
0.7292   0.6120   0.1133   Upper   B1 v -> Y v    g75792__5477
0.7242   0.6120   0.1176   Upper   A1 v -> Y v    g75792__5477
0.7292   0.6120   0.2680   Upper   B1 v -> Y ^    g75790__7410
0.7242   0.6120   0.2507   Upper   A1 v -> Y ^    g75790__7410
0.7510   0.6120   0.2339   Upper   B1 v -> Y ^    g75831__1705
0.7229   0.6120   0.2144   Upper   A1 v -> Y ^    g75831__1705
0.7510   0.6120   0.2244   Upper   B1 v -> Y ^    g75830__2802
0.7229   0.6120   0.2079   Upper   A1 v -> Y ^    g75830__2802
0.7510   0.6120   0.2333   Upper   B1 v -> Y ^    g75828__3680
0.7229   0.6120   0.2140   Upper   A1 v -> Y ^    g75828__3680
0.7510   0.6120   0.2540   Upper   B1 v -> Y ^    g75826__5526
0.7229   0.6120   0.2306   Upper   A1 v -> Y ^    g75826__5526
0.7510   0.6120   0.1919   Upper   B1 v -> Y ^    g75824__4319
0.7229   0.6120   0.1863   Upper   A1 v -> Y ^    g75824__4319
0.7510   0.6120   0.1956   Upper   B1 v -> Y ^    g75821__2398
0.7229   0.6120   0.1887   Upper   A1 v -> Y ^    g75821__2398
0.7510   0.6120   0.1972   Upper   B1 v -> Y ^    g75820__5477
0.7229   0.6120   0.1898   Upper   A1 v -> Y ^    g75820__5477
0.7510   0.6120   0.1969   Upper   B1 v -> Y ^    g75818__7410
0.7229   0.6120   0.1896   Upper   A1 v -> Y ^    g75818__7410
0.7510   0.6120   0.1946   Upper   B1 v -> Y ^    g75817__1666
0.7229   0.6120   0.1881   Upper   A1 v -> Y ^    g75817__1666
0.7510   0.6120   0.1936   Upper   B1 v -> Y ^    g75815__2883
0.7229   0.6120   0.1874   Upper   A1 v -> Y ^    g75815__2883
0.7510   0.6120   0.1984   Upper   B1 v -> Y ^    g75813__9315
0.7229   0.6120   0.1906   Upper   A1 v -> Y ^    g75813__9315
0.7510   0.6120   0.1924   Upper   B1 v -> Y ^    g75811__4733
0.7229   0.6120   0.1866   Upper   A1 v -> Y ^    g75811__4733
0.7510   0.6120   0.1953   Upper   B1 v -> Y ^    g75810__7482
0.7229   0.6120   0.1885   Upper   A1 v -> Y ^    g75810__7482
0.7510   0.6120   0.1963   Upper   B1 v -> Y ^    g75808__1881
0.7229   0.6120   0.1892   Upper   A1 v -> Y ^    g75808__1881
0.7510   0.6120   0.1948   Upper   B1 v -> Y ^    g75806__7098
0.7229   0.6120   0.1882   Upper   A1 v -> Y ^    g75806__7098
0.7510   0.6120   0.1999   Upper   B1 v -> Y ^    g75784__6161
0.7229   0.6120   0.1916   Upper   A1 v -> Y ^    g75784__6161
0.7279   0.6120   0.3640   Upper   A v -> Y ^    g134070
0.7279   0.6120   0.2554   Upper   B v -> Y ^    g133729
0.6149   0.6120   0.5221   Upper   A v -> Y ^    g133983
0.6705   0.6120   0.1153   Upper   AN ^ -> Y ^    g134401
0.6705   0.6120   0.5315   Upper   A ^ -> Y ^    g133766
0.7203   0.6120   0.2143   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1675
0.6287   0.6120   0.2695   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1713
0.6287   0.6120   0.2376   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1691
0.6304   0.6120   0.1090   Upper   A ^ -> Y ^    sub_1313_38_Y_add_1313_58_g1714
0.6304   0.6120   0.2462   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1683
0.6640   0.6120   0.2941   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1725
0.6640   0.6120   0.2512   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1711
0.6898   0.6120   0.2571   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1716
0.6898   0.6120   0.2729   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1690
0.8448   0.6120   0.4557   Upper   B0 v -> Y ^    g75735__4319
0.8725   0.6120   0.5971   Upper   C ^ -> Y v    g75887__5526
0.8725   0.6120   0.6397   Upper   C ^ -> Y v    g75886__8428
0.0089   0.0168   0.1762   Lower   A v -> Y ^    g75798__5526
0.6703   0.6120   0.1043   Upper   B0 ^ -> Y ^    g133553
0.6703   0.6120   0.0828   Upper   B0 ^ -> Y ^    g133524
0.6702   0.6120   0.3688   Upper   B ^ -> Y v    g133499
0.7007   0.6120   0.1688   Upper   B ^ -> Y v    g134402
0.0092   0.0168   0.0551   Lower   A v -> Y v    g133777
0.0069   0.0168   0.1173   Lower   A v -> Y v    g133896
0.0071   0.0168   0.3526   Lower   A v -> Y ^    g133882
0.0065   0.0168   0.3607   Lower   A v -> Y ^    g133884
0.0067   0.0168   0.2663   Lower   A v -> Y ^    g133870
0.6149   0.6120   0.3593   Upper   A v -> Y ^    g134076
0.6131   0.6120   0.5201   Upper   A ^ -> Y v    g75892__2802
0.6131   0.6120   0.2124   Upper   A ^ -> Y v    g75897
0.8725   0.6120   0.3389   Upper   A ^ -> Y v    g75859__2802
0.8725   0.6120   0.3442   Upper   A ^ -> Y v    g75858__1617
0.8725   0.6120   0.3904   Upper   B ^ -> Y v    g75854__8428
0.7313   0.6120   0.2655   Upper   A ^ -> Y v    g133640
0.6656   0.6120   0.1727   Upper   A ^ -> Y ^    g133475
0.6656   0.6120   0.1574   Upper   A ^ -> Y ^    g133456
0.8725   0.6120   0.3896   Upper   B ^ -> Y v    g75871__7482
0.8725   0.6120   0.3548   Upper   B ^ -> Y v    g75855__5526
0.8725   0.6120   0.3963   Upper   B ^ -> Y v    g75853__4319
0.8725   0.6120   0.3531   Upper   B ^ -> Y v    g75870__5115
0.8725   0.6120   0.3545   Upper   B ^ -> Y v    g75857__3680
0.7510   0.6120   0.4512   Upper   B1 v -> Y ^    g75728__1666
0.7229   0.6120   0.4351   Upper   A1 v -> Y ^    g75728__1666
0.7758   0.6120   0.2044   Upper   A ^ -> Y v    g134003
0.8725   0.6120   0.2299   Upper   A ^ -> Y v    g75951
0.6149   0.6120   0.2622   Upper   B v -> Y ^    g75738__6783
0.6796   0.6120   0.2520   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1720
0.6796   0.6120   0.3127   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1694
0.7940   0.6120   0.1547   Upper   S0 v -> Y v    sub_1313_38_Y_add_1313_58_g1743
0.8025   0.6120   0.1576   Upper   S0 v -> Y v    sub_1313_38_Y_add_1313_58_g1741
0.8278   0.6120   0.1580   Upper   S0 v -> Y v    sub_1313_38_Y_add_1313_58_g1765
0.8215   0.6120   0.1720   Upper   S0 v -> Y v    sub_1313_38_Y_add_1313_58_g1763
0.6149   0.6120   0.2643   Upper   A v -> Y ^    sub_1313_38_Y_add_1313_58_g1726
0.6149   0.6120   0.2496   Upper   A v -> Y ^    sub_1313_38_Y_add_1313_58_g1708
0.6560   0.6120   0.3782   Upper   A v -> Y ^    sub_1313_38_Y_add_1313_58_g1736
0.6560   0.6120   0.3030   Upper   A v -> Y ^    sub_1313_38_Y_add_1313_58_g1688
0.6417   0.6120   0.1331   Upper   A v -> Y v    sub_1313_38_Y_add_1313_58_g1839
0.6417   0.6120   0.2760   Upper   A v -> Y ^    sub_1313_38_Y_add_1313_58_g1697
0.6389   0.6120   0.1075   Upper   A ^ -> Y ^    sub_1313_38_Y_add_1313_58_g1712
0.6389   0.6120   0.2523   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1684
0.6789   0.6120   0.2916   Upper   A v -> Y ^    sub_1313_38_Y_add_1313_58_g1689
0.6789   0.6120   0.2713   Upper   A v -> Y ^    sub_1313_38_Y_add_1313_58_g1686
0.7203   0.6120   0.1873   Upper   A0 ^ -> Y v    sub_1313_38_Y_add_1313_58_g1667
0.7925   0.6120   0.8392   Upper   B v -> Y v    g134091
0.6149   0.6120   0.2029   Upper   A v -> Y ^    g133793
0.6560   0.6120   0.2038   Upper   A v -> Y ^    g133794
0.6417   0.6120   0.1977   Upper   A v -> Y ^    g133795
0.6789   0.6120   0.2069   Upper   A v -> Y ^    g133797
0.6389   0.6120   0.2151   Upper   A ^ -> Y v    g133834
0.6796   0.6120   0.2187   Upper   A ^ -> Y v    g133799
